
Page Rank Output 
---------------------------------------------------------------------------------------
(88,0.0031380393059528768)
(4,0.006994840443364623)
(82,0.007178403497634232)
(80,0.005262472484228286)
(19,0.0047193332958011215)
(42,0.012067981145007832)
(53,0.0424314040657562)
(62,0.007334388525680363)
(6,0.005496844981748574)
(37,0.0019304793257914786)
(46,0.003727327557480761)
(2,0.005171063533189886)
(86,0.0021738956350969554)
(93,0.005330196300511472)
(28,0.005823318003010785)
(59,0.001556795420121112)
(66,0.033084546064842596)
(44,0.012766987824747698)
(13,0.0206903439939512)
(24,0.00607916324666251)
(39,0.011389080370852534)
(77,0.006336822787608033)
(11,0.0038849960614502407)
(84,0.002030000032756044)
(64,0.006525960553556623)
(8,0.005708505652182357)
(60,0.009226981043302598)
(57,0.02005183217560421)
(20,0.003639889546385014)
(15,0.005954469046162686)
(48,0.032040638779145356)
(35,0.01328135042388478)
(97,0.005862854641843851)
(75,0.006432471709856832)
(55,0.006959628447489831)
(40,0.039884267610139176)
(31,0.012166055454916384)
(71,0.0066735093138765265)
(79,0.023332947897245708)
(51,0.0076855816205985555)
(22,0.01706194255432705)
(26,0.015381126821330842)
(68,0.0034117695767682814)
(33,0.003907952132011133)
(17,0.004757546407624071)
(73,0.0075297083630413595)
(99,0.00889935545712403)
(95,0.006649798417048131)
(91,0.0049405446253775135)
(69,0.005562120580805545)
(14,0.03937772700357329)
(96,0.021670433524062668)
(98,0.0035175133844280435)
(7,0.002639055347610252)
(36,0.004025475654532079)
(45,0.002950912126713506)
(56,0.007250836878818406)
(16,0.004211316450735479)
(41,0.00839085868699401)
(92,0.022042118492069378)
(9,0.012862068917611633)
(3,0.007109590714645796)
(34,0.005252714771083763)
(83,0.013421384014995538)
(61,0.023101971595224747)
(30,0.006038775174000853)
(81,0.0018145133481201287)
(25,0.006484629773168011)
(89,0.0020695285704384137)
(1,0.03540059180244298)
(63,0.0026551826571729544)
(10,0.007283518367242063)
(65,0.02199527565739929)
(29,0.006223751644838695)
(23,0.002674683166212933)
(49,0.004814487946254759)
(21,0.005253971879864089)
(47,0.00475836230418736)
(67,0.008040990807864884)
(5,0.016446111939280424)
(18,0.013768088495850607)
(27,0.03489656776403215)
(90,0.00828477369750875)
(100,0.013489147147690853)
(32,0.003524322724519613)
(85,0.0012246126965946582)
(54,0.013361483266072949)
(72,0.0027966203919454723)
(52,0.01364608664385096)
(58,0.003910709902156529)
(50,0.0025250398270181347)
(87,0.013861672934458058)
(78,0.016217203651570505)
(12,0.0035954991211599036)
(76,0.0034610846923672977)
(94,0.002737855058625407)
(38,0.006184599824253467)
(70,0.009521144526070481)
(43,0.005463367373694929)
(74,0.017624234904077076)

_________________________________________________________________________________________________





Modified Page Rank Output wit B=0.8
---------------------------------------------------------------------------------------------------

(88,0.004599295028815575)
(4,0.0075665006170267165)
(82,0.007709084675366599)
(80,0.005804612765096431)
(19,0.0055814923152135675)
(42,0.010839256949250382)
(53,0.035731202232671615)
(62,0.0073348567843892765)
(6,0.006420423774384914)
(37,0.003808204291611452)
(46,0.0051114293531194545)
(2,0.005852105827359927)
(86,0.004471679051651849)
(93,0.005854940282542813)
(28,0.006345141173708297)
(59,0.0036698606601272853)
(66,0.02919532337758851)
(44,0.012750399351623708)
(13,0.018205208864880022)
(24,0.0071963663177844845)
(39,0.012274798402607014)
(77,0.007159630080848503)
(11,0.005011773083891538)
(84,0.0040361226893249405)
(64,0.0077163611028859555)
(8,0.006576830809241582)
(60,0.008969338086489014)
(57,0.01765698560355749)
(20,0.004981930750505129)
(15,0.006422681240048263)
(48,0.025396889922979865)
(35,0.01299647942891405)
(75,0.006630283081532241)
(97,0.006281693188423464)
(55,0.007774615693709699)
(40,0.03363008718974391)
(31,0.012329815364026546)
(71,0.007197806287268998)
(79,0.019612757894814828)
(51,0.008244124612341641)
(22,0.015272993938937484)
(26,0.014340349890604958)
(68,0.005046173336490096)
(33,0.005326276068859905)
(17,0.006247740872979934)
(73,0.007839313692281311)
(99,0.008999735973098746)
(95,0.007619214941393232)
(91,0.00617288144529306)
(69,0.0066623826170663135)
(14,0.03417090697259139)
(96,0.01860420183631295)
(98,0.005040874617744194)
(7,0.004273848080995159)
(36,0.005313451081632749)
(45,0.004491847979049311)
(56,0.007862970775542306)
(16,0.005896747383820551)
(41,0.008029471180976674)
(92,0.01889475212924223)
(9,0.01288055492561613)
(3,0.007781010733095865)
(34,0.006377184491733382)
(83,0.013270473919444416)
(61,0.019180292953299392)
(30,0.007036506458340608)
(81,0.003695351749360992)
(25,0.007385688838686372)
(89,0.003922466019802269)
(1,0.030005979479788628)
(63,0.0043099984341482996)
(10,0.007600061465693588)
(65,0.01911720313658661)
(29,0.007188798729058292)
(23,0.004123864920184912)
(49,0.005535285716725917)
(21,0.006239534328350611)
(47,0.005984733859116162)
(67,0.0076980922096723785)
(5,0.015289105183835658)
(18,0.013299155913355785)
(27,0.029720144201405396)
(90,0.008454269205003908)
(100,0.012945393379138649)
(32,0.004993577101909504)
(85,0.003409694077402822)
(54,0.011648611927748928)
(72,0.004365306323137556)
(52,0.0132695761030872)
(58,0.005137291860141467)
(50,0.004258424498389762)
(87,0.013482673365692978)
(78,0.014811319655825963)
(12,0.005315015800727389)
(76,0.004859815991027171)
(94,0.004248494970298278)
(38,0.007149725831456918)
(70,0.010498258414476058)
(43,0.006390300322963042)
(74,0.016066240481990922)
